TRC  HCD  3.37
TRC  HND  3.25
TRC  HHD  0.00
TRC  HCE  3.37
TRC  HNE  3.25
TRC  IH   0.00
TRC  IN   3.25
TRC  ICA  3.49
TRC  IC   3.22
TRC  IO   3.03
TRC  ICB  3.49
TRC  ICG1 3.49
TRC  ICG2 3.49
TRC  ICD  3.49
TRC  KH   0.00
TRC  KN   3.25
TRC  KCA  3.49
TRC  KC   3.22
TRC  KO   3.03
TRC  KCB  3.49
TRC  KCG  3.49
TRC  KCD  3.49
TRC  KCE  3.49
TRC  KNZ  3.25
TRC  LH   0.00
TRC  LN   3.25
TRC  LCA  3.49
TRC  LC   3.22
TRC  LO   3.03
TRC  LCB  3.49
TRC  LCG  3.49
TRC  LCD1 3.49
TRC  MH   0.00
TRC  MN   3.25
TRC  MCA  3.49
TRC  MC   3.22
TRC  MO   3.03
TRC  MCB  3.49
TRC  MCG  3.49
TRC  MSD  3.38
TRC  MCE  3.49
TRC  NH   0.00
TRC  NN   3.25
TRC  NCA  3.49
TRC  NC   3.22
TRC  NO   3.03
TRC  NCB  3.49
TRC  NCG  3.22
TRC  NOD  3.03
TRC  NND  3.25
TRC  NHD1 0.00
TRC  NHD2 0.00
TRC  PN   3.25
TRC  PCA  3.49
TRC  PC   3.22
TRC  PO   3.03
TRC  PCB  3.49
TRC  PCG  3.49
TRC  PCD  3.49
TRC  QH   0.00
TRC  QN   3.25
TRC  QCA  3.49
TRC  QC   3.22
TRC  QO   3.03
TRC  QCB  3.49
TRC  QCG  3.49
TRC  QCD  3.22
TRC  QOE  3.03
TRC  QNE  3.25
TRC  QHE1 0.00
TRC  QHE2 0.00
TRC  RH   0.00
TRC  RN   3.25
TRC  RCA  3.49
TRC  RC   3.22
TRC  RO   3.03
TRC  RCB  3.49
TRC  RCG  3.49
TRC  RCD  3.49
TRC  RNE  3.25
TRC  RCZ  3.22
TRC  RNH  3.25
TRC  SH   0.00
TRC  SN   3.25
TRC  SCA  3.49
TRC  SC   3.22
