WC    -1.1230   1.5262 3436
WCA   -1.3713   1.4012 3454
WCB   -1.0255   1.1074 3454
WCD1  -0.5432   0.9367 3454
WCD2   0.2501   2.0750 3454
WCE2  -0.5393   1.2126 3451
WCE3  -0.4754   2.2971 3454
WCG   -0.5579   1.2982 3454
WCH2  -2.3960   1.5166 3453
WCZ2  -1.5771   1.2067 3415
WCZ3  -2.4397   1.5892 3446
WH     0.0000   0.0000 0
WHE    0.0000   0.0000 0
WN    -0.5864   2.5814 3449
WNE   -0.8097   0.9822 3450
WO    -2.0903   2.0796 3436
XXX    0.0000   0.0000 0
YC    -1.3330   1.4932 8057
YCA   -1.3897   1.1561 8089
YCB   -1.0559   1.0922 8087
YCD   -0.1680   0.9628 16176
YCE   -0.5884   0.8204 16167
YCG   -0.6502   1.0652 8087
YCZ   -1.0568   0.8585 8089
YH     0.0000   0.0000 0
YN    -1.1337   1.6005 8080
YO    -2.2120   1.9884 8057
YOH   -0.9673   0.9602 7958
