WCZ2   4.9327   5.0834 1845
WCZ3   6.2221   6.4837 2247
WH     0.0000   0.0000 0
WHE    0.0000   0.0000 0
WN     2.2114   3.8806 3449
WNE    3.1041   3.8657 3454
WO     6.9057   3.9822 3436
XXX    0.0000   0.0000 0
YC     0.0000   0.0000 0
YCA    0.0000   0.0000 0
YCB    0.0000   0.0000 0
YCD    5.7600   5.7391 9929
YCE    5.2158   5.1783 9214
YCG    2.9398   5.0534 6263
YCZ    4.5287   5.2425 4416
YH     0.0000   0.0000 0
YN     2.3614   4.0772 8080
YO     7.1660   4.2620 8057
YOH    2.3546   2.5472 8089
