 TRN  0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 10000.000000000000000
 TRC  0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 10000.000000000000000
 TRO  0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 10000.000000000000000
 AH   0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 10000.000000000000000
 AN   0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 10000.000000000000000
 ACA  0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 10000.000000000000000
 AC   0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 10000.000000000000000
 AO   0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 10000.000000000000000
 ACB  0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 10000.000000000000000
 CH   0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 10000.000000000000000
 CN   0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 10000.000000000000000
 CCA  0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 10000.000000000000000
 CC   0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 10000.000000000000000
 CO   0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 10000.000000000000000
 CCB  0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 10000.000000000000000
 CSG  0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 10000.000000000000000
 DH   0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 10000.000000000000000
 DN   0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 10000.000000000000000
 DCA  0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 10000.000000000000000
 DC   0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 10000.000000000000000
 DO   0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 10000.000000000000000
