TRN  4
TRC  7
TRO  5
AH   14
AN   2
ACA  9
AC   7
AO   5
ACB  11
CH   14
CN   2
CCA  9
CC   7
CO   5
CCB  10
CSG  13
DH   14
DN   2
DCA  9
DC   7
DO   5
DCB  10
DCG  7
DOD  5
EH   14
EN   2
ECA  9
EC   7
EO   5
ECB  10
ECG  10
ECD  7
EOE  5
FH   14
FN   2
FCA  9
FC   7
FO   5
FCB  10
FCG  7
FCD  8
FCE  8
FCZ  8
GH   14
GN   2
GCA  10
GC   7
GO   5
HH   14
HN   2
HCA  9
HC   7
HO   5
HCB  10
HCG  7
HCD  8
HND  2
HHD  14
HCE  8
HNE  2
HHE  14
IH   14
IN   2
ICA  9
IC   7
IO   5
ICB  9
ICG1 10
ICG2 11
ICD  11
KH   14
KN   2
KCA  9
KC   7
KO   5
KCB  10
KCG  10
KCD  10
KCE  10
KNZ  4
LH   14
LN   2
LCA  9
LC   7
LO   5
LCB  10
LCG  9
LCD1 11
LCD2 11
MH   14
MN   2
MCA  9
MC   7
MO   5
MCB  10
MCG  10
MSD  12
MCE  11
NH   14
NN   2
NCA  9
NC   7
NO   5
NCB  10
NCG  7
NOD  5
NND  3
NHD1 14
NHD2 14
PN   1
PCA  9
PC   7
PO   5
PCB  10
PCG  10
PCD  10
QH   14
QN   2
QCA  9
QC   7
QO   5
QCB  10
QCG  10
QCD  7
QOE  5
QNE  3
QHE1 14
QHE2 14
RH   14
RN   2
RCA  9
RC   7
RO   5
RCB  10
RCG  10
RCD  10
RNE  2
RHE  14
RCZ  7
RNH  4
SH   14
SN   2
SCA  9
SC   7
SO   5
SCB  10
SOG  6
TH   14
TN   2
TCA  9
TC   7
TO   5
TCB  9
TCG  11
TOG  6
VH   14
VN   2
VCA  9
VC   7
VO   5
VCB  9
VCG1 11
VCG2 11
WH   14
WN   2
WCA  9
WC   7
WO   5
WCB  10
WCG  7
WCD1 8
WCD2 7
WCE2 7
WCE3 8
WNE  2
WHE  14
WCZ2 8
WCZ3 8
WCH2 8
YH   14
YN   2
YCA  9
YC   7
YO   5
YCB  10
YCG  7
YCD  8
YCE  8
YCZ  7
YOH  6
