CN   0.000000000000000 -0.138258398479198 0.622162793156392 0.0000000000 0.000000000000000 3.000000000000000 0.000152026124030 0.024255005376534 0.0000000000 1.866488379469177 5.000000000000000 -0.003483455820056 0.025167162120715 0.0988443350 1.964724609967555 7.000000000000000 0.013457741252647 0.004266427200378 0.1577115136 2.235214281878962 9.000000000000000 -0.022607298744857 0.085012874716259 0.3362701175 2.675364947975017 11.000000000000000 0.010700348597259 -0.050630917752885 0.4050340314 3.507098291821109 13.000000000000000 -0.002870825233411 0.013571173830670 0.3309145436 4.200245472381054 15.000000000000000 0.000782952336385 -0.003653777569796 0.3507493361 4.893392652941000 17.000000000000000 -0.000260984112128 0.001043936448513 0.3455296538 5.586539833500945 19.000000000000000 0.000000000000000 0.000000000000000 0.0000000000 6.279687014060890 10000.000000000000000
CCA  0.000000000000000 0.000000000000000 0.000000000000000 0.0000000000 0.000000000000000 10000.000000000000000
CC   0.000000000000000 0.000000000000000 0.000000000000000 0.0000000000 0.000000000000000 10000.000000000000000
CO   0.000000000000000 -0.154806911853179 0.696631103339306 0.0000000000 0.000000000000000 3.000000000000000 -0.007946891881917 0.029643081856058 0.0000000000 2.089893310017918 5.000000000000000 0.010091377553529 -0.018038269435447 0.0232096248 2.144890502386811 7.000000000000000 -0.015095173744227 0.042509995885728 0.0721530777 2.199887694755703 9.000000000000000 0.027029356513513 -0.048061046579637 0.0610509764 2.393472443828368 11.000000000000000 -0.033270642762116 0.114115092501441 0.1931590682 2.539565062325865 13.000000000000000 0.028369260872638 -0.085508764071256 0.2503717251 3.116178426629858 15.000000000000000 -0.017901952823441 0.084706801164575 0.2487677992 3.501840907441843 17.000000000000000 0.004802962952631 -0.022704915776072 0.3727715700 4.194988088001789 19.000000000000000 -0.001309898987081 0.006112861939712 0.3395874623 4.888135268561733 21.000000000000000 0.000436632995694 -0.001746531982775 0.3483201223 5.581282449121678 23.000000000000000 0.000000000000000 0.000000000000000 0.0000000000 6.274429629681624 10000.000000000000000
CCB  0.000000000000000 0.000000000000000 0.000000000000000 0.0000000000 0.000000000000000 10000.000000000000000
CSG  0.000000000000000 -0.100912507676090 0.454106284542404 0.0000000000 0.000000000000000 3.000000000000000 -0.001095274107060 0.005178089559794 0.0000000000 1.362318853627211 5.000000000000000 0.000298280975507 -0.001393555082568 0.0075690690 1.374269019009905 7.000000000000000 -0.000097849794969 0.000396130770477 0.0055742203 1.386219184392601 9.000000000000000 0.000093118204370 -0.000190967999340 0.0059845459 1.398169349775295 11.000000000000000 -0.000274623022512 0.000367741226883 0.0063380923 1.410119515157990 13.000000000000000 0.001005373885678 -0.001279996908190 0.0045135810 1.422069680540685 15.000000000000000 0.000474637974224 0.004752246405879 0.0114580800 1.434019845923380 17.000000000000000 0.006468084687054 0.007600074251224 0.0361627213 1.479742095261475 19.000000000000000 0.013309936705673 0.046408582373550 0.1441800345 1.634212512312002 21.000000000000000 -0.041939663770055 0.126268202607589 0.4895336045 2.214686404499882 23.000000000000000 0.026495675157332 -0.125369780012740 0.4913304497 3.363309113742653 25.000000000000000 -0.007108595773918 0.033604270931250 0.3077994315 4.056456294302598 27.000000000000000 0.001938707938341 -0.009047303712260 0.3569133660 4.749603474862544 29.000000000000000 -0.000646235979447 0.002584943917788 0.3439886464 5.442750655422489 31.000000000000000 0.000000000000000 0.000000000000000 0.0000000000 6.135897835982433 10000.000000000000000
DH   0.000000000000000 0.000000000000000 0.000000000000000 0.0000000000 0.000000000000000 10000.000000000000000
DN   0.000000000000000 -0.091156151622991 0.410202682303461 0.0000000000 0.000000000000000 3.000000000000000 0.007586622563841 0.001018966015876 0.0000000000 1.230608046910382 5.000000000000000 0.000203917561119 0.046538701398921 0.0951153348 1.295376891484613 7.000000000000000 -0.005304915708800 0.047762206765637 0.2837171512 1.673393707228439 9.000000000000000 -0.007748418301568 0.015932712512836 0.4111069897 2.389437510938004 11.000000000000000 0.006458091181234 -0.030557797296573 0.3818568201 3.213394994008111 13.000000000000000 -0.001732658609599 0.008190749790834 0.3371227251 3.906542174568056 15.000000000000000 0.000472543257164 -0.002205201866763 0.3490938210 4.599689355128001 17.000000000000000 -0.000157514419054 0.000630057676218 0.3459435326 5.292836535687947 19.000000000000000 0.000000000000000 0.000000000000000 0.0000000000 5.985983716247892 10000.000000000000000
DCA  0.000000000000000 0.000000000000000 0.000000000000000 0.0000000000 0.000000000000000 10000.000000000000000
DC   0.000000000000000 0.000000000000000 0.000000000000000 0.0000000000 0.000000000000000 10000.000000000000000
